source_id,condition_id,experiment,source_directory_index,rows,columns,public_file
P02_L026_FLANKER_T011,P02_L026,flanker,11,172,16,data/raw/source_trials/p02_l026_flanker_t011.tsv.gz
P02_L026_FLANKER_T012,P02_L026,flanker,12,198,16,data/raw/source_trials/p02_l026_flanker_t012.tsv.gz
P02_L026_FLANKER_T013,P02_L026,flanker,13,158,16,data/raw/source_trials/p02_l026_flanker_t013.tsv.gz
P02_L026_FLANKER_T014,P02_L026,flanker,14,192,16,data/raw/source_trials/p02_l026_flanker_t014.tsv.gz
P02_L026_FLANKER_T015,P02_L026,flanker,15,164,16,data/raw/source_trials/p02_l026_flanker_t015.tsv.gz
P02_L049_BASE_T000,P02_L049,base,0,199,16,data/raw/source_trials/p02_l049_base_t000.tsv.gz
P02_L049_BASE_T001,P02_L049,base,1,210,16,data/raw/source_trials/p02_l049_base_t001.tsv.gz
P02_L049_BASE_T002,P02_L049,base,2,180,16,data/raw/source_trials/p02_l049_base_t002.tsv.gz
P02_L049_BASE_T003,P02_L049,base,3,200,16,data/raw/source_trials/p02_l049_base_t003.tsv.gz
P02_L049_BASE_T004,P02_L049,base,4,194,16,data/raw/source_trials/p02_l049_base_t004.tsv.gz
