condition_id,exclusion_candidate,probe_position_deg,distance_from_flanker_edge_deg,base_threshold,flanker_threshold,base_sensitivity,flanker_sensitivity,log_sensitivity_ratio,spread,base_staircases,flanker_staircases
P02_L010,no_exclusions,-0.2349,0.2651,0.028698743689899872,0.030413395508357498,34.844730863669696,32.88024843280664,-0.058029805144021035,0.2692856493736179,4,4
P02_L010,no_exclusions,-0.1547,0.3453,0.03562771283265565,0.03473119256762276,28.068038066238703,28.79256155840222,0.02548558095594949,0.10198466359033401,4,4
P02_L010,no_exclusions,-0.0745,0.4255,0.029488968199616935,0.029993124582024303,33.910986414675236,33.34097443783257,-0.016951940726552896,0.2719850130159244,4,4
P02_L010,no_exclusions,0.0057,0.5057,0.034310349900108554,0.025311427615783547,29.145724334243415,39.507846620884635,0.30419107684137103,0.3866107955948481,4,4
P02_L010,no_exclusions,0.0859,0.5859,0.033011393363858596,0.033620154413762045,30.29257168813771,29.744063269104466,-0.018272965553242003,0.3292035116741661,4,4
P02_L010,no_exclusions,0.1662,0.6662,0.029363397511933585,0.03845391814384372,34.05600457486535,26.005152355588894,-0.2697116769479081,0.2771303041466886,4,4
P02_L010,no_exclusions,0.2521,0.7521,0.04693587723043073,0.042354851059271226,21.30566336473313,23.610046428934517,0.10269939454768973,0.3428695144287211,4,4
P02_L010,no_exclusions,0.3323,0.8323,0.03556508933527679,0.03568895981191754,28.117460652857304,28.01986959749026,-0.0034768719226128736,0.17707465177278037,4,4
P02_L010,no_exclusions,0.4125,0.9125,0.030226708055724864,0.031627776682722,33.08332479198318,31.617777311115642,-0.04530983717783131,0.2355473597489308,4,4
P02_L010,no_exclusions,0.4927,0.9927,0.022507182946087237,0.01742380356656997,44.43026043709504,57.39274987687771,0.255997207912359,0.2662351822734813,4,4
P02_L026,no_exclusions,-0.4011,0.09889999999999999,0.04120466958399835,0.04829757484617021,24.269094015216798,20.704973348766302,-0.15882975982324246,0.14791300564231674,4,4
P02_L026,no_exclusions,-0.338,0.16199999999999998,0.03833369543805998,0.0380896965860164,26.086710101190516,26.2538190017277,0.006385471114354252,0.17840493903745033,4,4
P02_L026,no_exclusions,-0.2807,0.2193,0.04131726050174902,0.03694216160510831,24.202959921741872,27.06934181842032,0.11192685277246156,0.29704217706338965,4,4
P02_L026,no_exclusions,-0.2235,0.27649999999999997,0.021027873247528795,0.019575381813266825,47.555926756288606,51.08457191482569,0.07157610830975777,0.21478183415030738,4,4
P02_L026,no_exclusions,-0.1604,0.3396,0.023495059012778277,0.01913757340975007,42.56214038262807,52.25322869254298,0.205136547380469,0.3886024494254745,4,4
P02_L026,no_exclusions,-0.1031,0.39690000000000003,0.042389076221336336,0.03267574818757597,23.590983553839628,30.603736883375227,0.2602575356465964,0.4687475837311371,4,4
P02_L026,no_exclusions,-0.0401,0.4599,0.040370725630884584,0.0413643988395412,24.7704242213317,24.175378539384855,-0.024315670254872527,0.14328425169639372,4,4
P02_L026,no_exclusions,0.0172,0.5172,0.020223951261716982,0.02249544311400885,49.44632169347413,44.45344752410137,-0.10644515239395244,0.2688691531385474,4,4
