condition_id,experiment,staircase_id,source_id,source_staircase_id,probe_position_deg,trials_recorded,trials_used,distinct_signed_positions,detected_reversals,final_five_geometric_threshold
P01_L200,flanker,P01_L200_FLANKER_T008_A02,P01_L200_FLANKER_T008,2.0,-0.1719,38,38,1,10,0.13358263912137905
P01_L200,flanker,P01_L200_FLANKER_T008_A03,P01_L200_FLANKER_T008,3.0,0.1031,45,45,1,10,0.09510908428897334
P01_L200,flanker,P01_L200_FLANKER_T008_A04,P01_L200_FLANKER_T008,4.0,-0.0344,49,49,1,10,0.15233862552926314
P01_L200,flanker,P01_L200_FLANKER_T009_A01,P01_L200_FLANKER_T009,1.0,-0.1031,40,40,1,10,0.17372808404079015
P01_L200,flanker,P01_L200_FLANKER_T009_A02,P01_L200_FLANKER_T009,2.0,0.1719,38,38,1,10,0.15233868788059937
P01_L200,flanker,P01_L200_FLANKER_T009_A03,P01_L200_FLANKER_T009,3.0,0.2406,53,53,1,10,0.12369227424808915
P01_L200,flanker,P01_L200_FLANKER_T009_A04,P01_L200_FLANKER_T009,4.0,0.0344,43,43,1,10,0.19973677545282442
P01_L200,flanker,P01_L200_FLANKER_T010_A01,P01_L200_FLANKER_T010,1.0,0.0344,46,46,1,10,0.14220995437894296
P01_L200,flanker,P01_L200_FLANKER_T010_A02,P01_L200_FLANKER_T010,2.0,0.2406,50,50,1,10,0.10291017133567563
P01_L200,flanker,P01_L200_FLANKER_T010_A03,P01_L200_FLANKER_T010,3.0,0.1719,43,43,1,10,0.1360297854291071
P01_L200,flanker,P01_L200_FLANKER_T010_A04,P01_L200_FLANKER_T010,4.0,-0.1031,44,44,1,10,0.17372808404079015
P01_L200,flanker,P01_L200_FLANKER_T011_A01,P01_L200_FLANKER_T011,1.0,0.0344,32,32,1,10,0.13358263912137905
P01_L200,flanker,P01_L200_FLANKER_T011_A02,P01_L200_FLANKER_T011,2.0,-0.1031,33,33,1,10,0.15233862552926314
P01_L200,flanker,P01_L200_FLANKER_T011_A03,P01_L200_FLANKER_T011,3.0,0.1719,41,41,1,11,0.15925974531882273
P01_L200,flanker,P01_L200_FLANKER_T012_A01,P01_L200_FLANKER_T012,1.0,-0.3781,46,46,1,10,0.10291017133567563
P01_L200,flanker,P01_L200_FLANKER_T012_A02,P01_L200_FLANKER_T012,2.0,-0.4469,38,38,1,10,0.31992336231621976
P01_L200,flanker,P01_L200_FLANKER_T012_A03,P01_L200_FLANKER_T012,3.0,-0.2406,39,39,1,10,0.1961435504845895
P01_L200,flanker,P01_L200_FLANKER_T013_A01,P01_L200_FLANKER_T013,1.0,-0.2406,42,42,1,10,0.26401829955814493
