condition_id,candidate_mode,selection,assumed_input_index,point_index,probe_position_deg,distance_from_flanker_edge_deg,log_sensitivity_ratio,spread_recorded,errorbar_halfwidth_source_convention
P01_L050,1,row_linked_max_fms,30673,23,0.0458,0.5458,0.07167371166548817,0.14273334677507968,0.07136667338753984
P01_L050,1,row_linked_max_fms,30673,24,0.0688,0.5688,-0.1084161358719497,0.1766021847513858,0.0883010923756929
P01_L050,1,row_linked_max_fms,30673,25,0.1146,0.6146,-0.0732520255316725,0.25683703444136846,0.12841851722068423
P01_L050,1,row_linked_max_fms,30673,26,0.1604,0.6604,0.012955374067679484,0.3139380511689352,0.1569690255844676
P01_L050,1,row_linked_max_fms,30673,27,0.2063,0.7063,0.02650428254987556,0.2655040484411753,0.13275202422058766
P01_L050,1,source_plotting_index_rule,13601,0,-0.4813,0.018699999999999994,0.18842611419841213,0.3032282384524854,0.1516141192262427
P01_L050,1,source_plotting_index_rule,13601,1,-0.4584,0.041600000000000026,-0.14060659020944904,0.3500252719616283,0.17501263598081415
P01_L050,1,source_plotting_index_rule,13601,2,-0.4354,0.06459999999999999,-0.24461345110978797,0.2507985892909476,0.1253992946454738
P01_L050,1,source_plotting_index_rule,13601,3,-0.4125,0.08750000000000002,0.017361929301228554,0.33931263262296907,0.16965631631148453
P01_L050,1,source_plotting_index_rule,13601,4,-0.3896,0.1104,0.11009329589686638,0.20285571064496097,0.10142785532248048
P01_L050,1,source_plotting_index_rule,13601,5,-0.3667,0.13329999999999997,-0.04045960851650413,0.2591764373172503,0.12958821865862516
P01_L050,1,source_plotting_index_rule,13601,6,-0.3438,0.1562,-0.06563283277918498,0.19350172012653824,0.09675086006326912
P01_L050,1,source_plotting_index_rule,13601,7,-0.3209,0.17909999999999998,-0.0065187163865078595,0.38866671674640557,0.19433335837320279
P01_L050,1,source_plotting_index_rule,13601,8,-0.2979,0.2021,-0.13967126599615007,0.18634590239177182,0.09317295119588591
P01_L050,1,source_plotting_index_rule,13601,9,-0.275,0.22499999999999998,0.20788930041883844,0.29467571149400523,0.14733785574700262
P01_L050,1,source_plotting_index_rule,13601,10,-0.2521,0.2479,0.07471331565523814,0.2102129418580986,0.1051064709290493
P01_L050,1,source_plotting_index_rule,13601,11,-0.2292,0.27080000000000004,-0.20923518711352443,0.14606350936219203,0.07303175468109602
P01_L050,1,source_plotting_index_rule,13601,12,-0.2063,0.29369999999999996,0.12107415242543287,0.1864284855715939,0.09321424278579694
P01_L050,1,source_plotting_index_rule,13601,13,-0.1833,0.3167,-0.36030902885723337,0.14668388488214032,0.07334194244107016
P01_L050,1,source_plotting_index_rule,13601,14,-0.1604,0.3396,-0.19849010029414177,0.16203668609783514,0.08101834304891757
P01_L050,1,source_plotting_index_rule,13601,15,-0.1375,0.3625,0.19506874998521623,0.20081486994447717,0.10040743497223859
P01_L050,1,source_plotting_index_rule,13601,16,-0.1146,0.3854,0.05559039336673148,0.2139864586171758,0.1069932293085879
P01_L050,1,source_plotting_index_rule,13601,17,-0.0917,0.4083,-0.018496224490404556,0.19912438059822815,0.09956219029911408
P01_L050,1,source_plotting_index_rule,13601,18,-0.0688,0.4312,-0.24096275788236154,0.1710638734703641,0.08553193673518204
P01_L050,1,source_plotting_index_rule,13601,19,-0.0458,0.4542,-0.22001590641072552,0.21464723062319094,0.10732361531159547
P01_L050,1,source_plotting_index_rule,13601,20,-0.0229,0.4771,-0.07486060288531332,0.3696024605669723,0.18480123028348616
P01_L050,1,source_plotting_index_rule,13601,21,-0.0,0.5,0.02967853271921051,0.12150376041945628,0.06075188020972814
P01_L050,1,source_plotting_index_rule,13601,22,0.0229,0.5229,0.08206022465483849,0.20651131617250046,0.10325565808625023
P01_L050,1,source_plotting_index_rule,13601,23,0.0458,0.5458,0.1676209233481044,0.27696899119161666,0.13848449559580833
P01_L050,1,source_plotting_index_rule,13601,24,0.0688,0.5688,-0.09165723997976896,0.18715060756124285,0.09357530378062143
P01_L050,1,source_plotting_index_rule,13601,25,0.1146,0.6146,-0.027860042063222932,0.23179570614475284,0.11589785307237642
P01_L050,1,source_plotting_index_rule,13601,26,0.1604,0.6604,-0.024485613474687883,0.2546927225774855,0.12734636128874274
P01_L050,1,source_plotting_index_rule,13601,27,0.2063,0.7063,0.13694924837927794,0.22428036936536502,0.11214018468268251
P01_L200,2,row_linked_max_fms,15647,0,-0.4469,0.05309999999999998,-0.20897123640807816,0.39421093553947756,0.19710546776973878
P01_L200,2,row_linked_max_fms,15647,1,-0.4125,0.08750000000000002,0.0748036621226983,0.3172420217259415,0.15862101086297076
P01_L200,2,row_linked_max_fms,15647,2,-0.3781,0.12190000000000001,-0.08905838990370728,0.3043224768332201,0.15216123841661006
P01_L200,2,row_linked_max_fms,15647,3,-0.3438,0.1562,0.016071290664108697,0.22698201105373028,0.11349100552686514
P01_L200,2,row_linked_max_fms,15647,4,-0.3094,0.1906,0.23477820388978796,0.5969978008282236,0.2984989004141118
P01_L200,2,row_linked_max_fms,15647,5,-0.275,0.22499999999999998,0.051010354951126366,0.26933995411182754,0.13466997705591377
P01_L200,2,row_linked_max_fms,15647,6,-0.2406,0.25939999999999996,-0.07599325171325512,0.3123711701651389,0.15618558508256944
